districtId,firstName,lastName,sex,dateOfBirth,grade,school,peTeacher,classroomTeacher
200001,Emma,Anderson,F,2014-03-15,5,Austin Elementary,Miguel Tapia,Mrs. James
200002,Liam,Brown,M,2014-05-22,5,Austin Elementary,Miguel Tapia,Mrs. James
200003,Olivia,Chen,F,2014-07-10,5,Austin Elementary,Miguel Tapia,Mrs. James
200004,Noah,Davis,M,2014-02-18,5,Austin Elementary,Miguel Tapia,Mrs. James
200005,Ava,Garcia,F,2014-08-05,5,Austin Elementary,Miguel Tapia,Mrs. James
200006,Ethan,Garcia,M,2014-04-12,5,Austin Elementary,Miguel Tapia,Mrs. James
200007,Sophia,Harris,F,2014-09-20,5,Austin Elementary,Miguel Tapia,Mrs. James
200008,Mason,Jackson,M,2014-06-08,5,Austin Elementary,Miguel Tapia,Mrs. James
200009,Isabella,Johnson,F,2014-01-30,5,Austin Elementary,Miguel Tapia,Mrs. James
200010,Jacob,Kim,M,2014-11-14,5,Austin Elementary,Miguel Tapia,Mrs. James
200011,Mia,Lee,F,2014-10-25,5,Austin Elementary,Miguel Tapia,Mrs. James
200012,Logan,Martinez,M,2014-03-07,5,Austin Elementary,Miguel Tapia,Mrs. James
200013,Charlotte,Miller,F,2014-12-11,5,Austin Elementary,Miguel Tapia,Mrs. James
200014,Lucas,Moore,M,2014-05-19,5,Austin Elementary,Miguel Tapia,Mrs. James
200015,Amelia,Nelson,F,2014-08-30,5,Austin Elementary,Miguel Tapia,Mrs. James
200016,Oliver,Patel,M,2014-02-28,5,Austin Elementary,Miguel Tapia,Mrs. James
200017,Harper,Quinn,F,2014-07-16,5,Austin Elementary,Miguel Tapia,Mrs. James
200018,Benjamin,Rodriguez,M,2014-09-09,5,Austin Elementary,Miguel Tapia,Mrs. James
200019,Evelyn,Smith,F,2014-04-21,5,Austin Elementary,Miguel Tapia,Mrs. James
200020,Michael,Taylor,M,2014-06-03,5,Austin Elementary,Miguel Tapia,Mrs. James
200021,Abigail,Thomas,F,2014-10-12,5,Austin Elementary,Miguel Tapia,Mrs. James
200022,James,Thompson,M,2014-01-26,5,Austin Elementary,Miguel Tapia,Mrs. James
200023,Elizabeth,Wang,F,2014-11-05,5,Austin Elementary,Miguel Tapia,Mrs. James
200024,David,White,M,2014-08-17,5,Austin Elementary,Miguel Tapia,Mrs. James
200025,Sofia,Williams,F,2014-05-28,5,Austin Elementary,Miguel Tapia,Mrs. James
